,OlfN,TotalN,Tokens,OAI,OSI
indeed_RB,19,34413,['indeed_RB'],-10.822738532562154,11.282387372034844
men_NN,37,83293,"['men_NNS', 'men_NN']",-11.13645426953975,10.32086151984948
first_RB,26,70698,['first_RB'],-11.408942064124867,10.829875167337338
student_NN,83,548940,"['student_NNS', 'student_NN']",-12.69124951211463,9.155275454131505
together_RB,33,95791,['together_RB'],-11.503208374760867,10.485920766119976
create_VB,46,189259,"['create_VBP', 'create_VBG', 'create_VB', 'create_VBN', 'create_VBD', 'create_VBZ']",-12.00644042597066,10.006752929421417
easy_JJ,31,75019,"['easy_JJR', 'easy_JJ', 'easy_JJS']",-11.24077210122812,10.576118575091554
see_VB,175,333275,"['see_VB', 'see_VBN', 'see_VBP', 'see_VBG', 'see_VBZ']",-10.895142463044689,8.079103773646102
package_NN,10,32000,"['package_NN', 'package_NNS']",-11.643856189774725,12.208386790591067
song_NN,9,28398,"['song_NNS', 'song_NN']",-11.623576706017207,12.360389884036117
ethnic_JJ,9,15440,['ethnic_JJ'],-10.744460130713131,12.360389884036117
develop_VB,99,233558,"['develop_VB', 'develop_VBD', 'develop_VBN', 'develop_VBG', 'develop_VBP', 'develop_VBZ']",-11.204064716590834,8.90095826539882
keep_VB,38,148050,"['keep_VB', 'keep_VBD', 'keep_VBZ', 'keep_VBN', 'keep_VBG', 'keep_VBP']",-11.927797451508694,10.282387372034844
warm_JJ,25,13861,['warm_JJ'],-9.114887534046252,10.886458695703706
oil_NN,30,35948,"['oil_NN', 'oil_NNS']",-10.226733291174462,10.623424289869911
economic_JJ,10,95236,['economic_JJ'],-13.217291312018014,12.208386790591067
additional_JJ,12,85500,['additional_JJ'],-12.798674298826828,11.945352384757273
cuisine_NN,46,2558,"['cuisine_NN', 'cuisine_NNP', 'cuisine_NNS']",-5.797238592824624,10.006752929421417
europe_NN,18,42641,['europe_NNP'],-11.210028650118954,11.360389884036117
delicacy_NN,12,790,"['delicacy_NN', 'delicacy_NNS']",-6.040746342343309,11.945352384757273
also_RB,200,693842,['also_RB'],-11.760391457886197,7.8864586957037055
ice_NN,24,16506,['ice_NN'],-9.42574042431621,10.945352384757273
game_NN,23,95776,"['game_NN', 'game_NNP', 'game_NNS']",-12.023814607441087,11.006752929421417
enjoy_VB,114,46204,"['enjoy_VB', 'enjoy_VBG', 'enjoy_VBD', 'enjoy_VBP', 'enjoy_VBN', 'enjoy_VBZ']",-8.6628401202806,8.697424871313688
combine_VB,17,43845,"['combine_VBN', 'combine_VBP', 'combine_VBG', 'combine_VBZ', 'combine_VB']",-11.332661868164232,11.44285204422809
advantage_NN,11,43461,"['advantage_NN', 'advantage_NNS']",-11.94800213097767,12.070883266841133
'll_MD,48,72720,"[""'ll_MD""]",-10.565102078360313,9.945352384757273
burn_VB,17,13149,"['burn_VBN', 'burn_VBG', 'burn_VB', 'burn_VBP']",-9.59520262299547,11.44285204422809
very_RB,298,299778,['very_RB'],-9.974366465160667,7.311146365016268
unpleasant_JJ,64,3193,['unpleasant_JJ'],-5.640696837570093,9.53031488547843
delicious_JJ,64,2578,['delicious_JJ'],-5.332036548361651,9.53031488547843
begin_VB,46,150435,"['begin_VBG', 'begin_VBD', 'begin_VB', 'begin_VBP', 'begin_VBZ']",-11.675218779890065,10.006752929421417
suit_VB,124,8638,"['suit_VB', 'suit_VBN', 'suit_VBP', 'suit_VBD', 'suit_VBG', 'suit_VBZ']",-6.122285290820146,8.576118575091554
