,OlfN,TotalN,Tokens,OAI,OSI
life_NN,1565,245614,"['life_NN', 'life_NNS', 'life_NNP']",-7.294086329297749,9.372075084103754
benefit_NN,868,98435,"['benefit_NNS', 'benefit_NN', 'benefit_NNPS', 'benefit_NNP']",-6.825332525152918,10.222470793479255
world_NN,2679,247508,"['world_NN', 'world_NNP', 'world_NNS', 'world_NNPS']",-6.529636765600017,8.596543160081355
ever_RB,3375,67276,['ever_RB'],-4.317132523172546,8.263350239098179
location_NN,270,60584,"['location_NN', 'location_NNS', 'location_NNP', 'location_NNPS']",-7.8098336163211455,11.907206428872904
power_NN,585,131479,"['power_NN', 'power_NNP', 'power_NNS']",-7.812180048721371,10.791729211452967
player_NN,407,40779,"['player_NNS', 'player_NN', 'player_NNP']",-6.646653792689454,11.315137041657486
involve_VB,376,146004,"['involve_VBN', 'involve_VBZ', 'involve_VBG', 'involve_VB', 'involve_VBD', 'involve_VBP']",-8.601059517214557,11.429433174246096
decision_NN,316,117668,"['decision_NN', 'decision_NNS', 'decision_NNP']",-8.540581756761547,11.680241277746632
quickly_RB,372,41640,['quickly_RB'],-6.806523637078748,11.444863214815703
pressure_NN,162,45084,"['pressure_NN', 'pressure_NNP', 'pressure_NNS']",-8.120477898478303,12.64417202303911
only_RB,4019,395986,['only_RB'],-6.622469037411205,8.011401163864988
investment_NN,198,50992,"['investment_NN', 'investment_NNS', 'investment_NNP']",-8.008626683698244,12.354665405844125
now_RB,3526,275604,['now_RB'],-6.288420541976999,8.200205266603552
aid_NN,151,42415,"['aid_NN', 'aid_NNP', 'aid_NNS']",-8.133882202149884,12.745617286598655
're_VB,2606,127149,"[""'re_VBP""]",-5.6085392214498695,8.6364006573556
wonderful_JJ,344,17574,['wonderful_JJ'],-5.674890223898426,11.557757271221636
campaign_NN,237,49115,"['campaign_NNS', 'campaign_NN', 'campaign_NNP']",-7.695132829747624,12.095278777025475
say_VB,4046,605113,"['say_VBZ', 'say_VBD', 'say_VBP', 'say_VBN', 'say_VB', 'say_VBG']",-7.224564449153216,8.001741421365452
's_VB,4598,382576,"[""'s_VBZ""]",-6.378596096182042,7.817231275205554
more_RB,2712,383339,['more_RBR'],-7.14311979327495,8.57888056278739
child_NN,2406,322065,"['child_NNS', 'child_NN', 'child_NNP']",-7.064571433470333,8.751601098747658
serious_JJ,214,44758,['serious_JJ'],-7.708390964436977,12.242555039522587
recently_RB,519,56851,['recently_RB'],-6.775307377307375,10.964431297565854
