,OlfN,TotalN,Tokens,OAI,OSI
decay_NN,11,3856,"['decay_NNS', 'decay_NN']",-8.453457717592665,10.693328550138101
form_NN,23,151061,"['form_NNS', 'form_NN']",-12.681209760821261,9.629198212718387
tasting_NN,82,1213,"['tasting_NN', 'tasting_NNP']",-3.8868118305024266,7.795208164157316
horse_NN,16,15860,"['horse_NNS', 'horse_NN']",-9.953105150591341,10.1527601687754
light_NN,11,47860,"['light_NN', 'light_NNS']",-12.087101157788563,10.693328550138101
soon_RB,12,47561,['soon_RB'],-11.952528927803241,10.567797668054244
tobacco_NN,28,17600,['tobacco_NN'],-9.295932886354418,9.345405246717796
ability_NN,17,82991,"['ability_NN', 'ability_NNS']",-12.253204429464883,10.06529732752506
own_JJ,27,186703,['own_JJ'],-12.75549808168186,9.397872666611931
hide_VB,9,14472,"['hide_VB', 'hide_VBD', 'hide_VBG', 'hide_VBN']",-10.651051691178928,10.982835167333088
beautiful_JJ,12,21883,['beautiful_JJ'],-10.832560413505135,10.567797668054244
sour_JJ,21,1043,['sour_JJ'],-5.634206019741005,9.76044274599664
'd_MD,10,51923,"[""'d_MD""]",-12.342158026244256,10.830832073888038
want_VB,16,204381,"['want_VB', 'want_VBP', 'want_VBD', 'want_VBG']",-13.640901558775653,10.1527601687754
listen_VB,10,23994,"['listen_VB', 'listen_VBG', 'listen_VBP']",-11.228457971643923,10.830832073888038
rank_NN,11,5899,['rank_NN'],-9.066823075191303,10.693328550138101
simply_RB,10,62712,['simply_RB'],-12.614525815153815,10.830832073888038
ether_NN,25,1040,['ether_NN'],-5.37851162325373,9.508903979000674
fuel_NN,15,19648,['fuel_NN'],-10.35520424976166,10.245869573166882
kitchen_NN,17,9672,['kitchen_NN'],-9.152135687998785,10.06529732752506
immediately_RB,14,37403,['immediately_RB'],-11.383511447164802,10.345405246717796
distinguish_VB,9,8552,"['distinguish_VBD', 'distinguish_VBG', 'distinguish_VB']",-9.892121136278178,10.982835167333088
mold_NN,16,3164,['mold_NN'],-7.627533884472792,10.1527601687754
wake_NN,12,4696,"['wake_NN', 'wake_NNP']",-8.612254192388896,10.567797668054244
morning_NN,18,33902,['morning_NN'],-10.87915776370977,9.982835167333088
brown_JJ,13,8883,['brown_JJ'],-9.416391557757617,10.452320450634307
kind_NN,11,65358,['kind_NN'],-12.536644597605223,10.693328550138101
here_RB,21,161482,['here_RB'],-12.90869641188372,9.76044274599664
spirit_NN,19,27319,"['spirit_NNS', 'spirit_NNP', 'spirit_NN']",-10.489689541481848,9.904832655331814
enter_VB,11,34721,"['enter_VBD', 'enter_VBP', 'enter_VBG']",-11.624089260372688,10.693328550138101
restaurant_NN,8,21868,"['restaurant_NN', 'restaurant_NNS']",-11.416533660199583,11.1527601687754
run_VB,14,119834,"['run_VB', 'run_VBG', 'run_VBP', 'run_VBD', 'run_VBZ', 'run_VBN']",-13.063322848420137,10.345405246717796
sniff_VB,13,1192,"['sniff_VBD', 'sniff_VB', 'sniff_VBG', 'sniff_VBP', 'sniff_VBZ']",-6.518728802321069,10.452320450634307
burnt_JJ,24,676,['burnt_JJ'],-4.815916935561028,9.567797668054244
tea_NN,9,6769,['tea_NN'],-9.554802000092133,10.982835167333088
cover_VB,13,74808,"['cover_VBN', 'cover_VB', 'cover_VBD', 'cover_VBG', 'cover_VBZ']",-12.490465222205431,10.452320450634307
body_NN,36,102165,"['body_NNS', 'body_NN']",-11.470616511004922,8.982835167333088
aware_JJ,9,32563,['aware_JJ'],-11.821020998035168,10.982835167333088
mix_VB,11,7510,"['mix_VBN', 'mix_VBG', 'mix_VBP', 'mix_VBZ']",-9.415165573764337,10.693328550138101
paint_NN,11,5648,['paint_NN'],-9.004092754633882,10.693328550138101
arise_VB,11,26154,"['arise_VBD', 'arise_VBN', 'arise_VBZ', 'arise_VB', 'arise_VBP']",-11.215312370437857,10.693328550138101
rubber_NN,12,3477,['rubber_NN'],-8.178664851006472,10.567797668054244
ground_NN,10,58618,"['ground_NN', 'ground_NNS']",-12.517128029910545,10.830832073888038
skin_NN,26,20393,['skin_NN'],-9.615346686235954,9.452320450634307
grow_VB,9,105377,"['grow_VB', 'grow_VBD', 'grow_VBN', 'grow_VBZ', 'grow_VBG']",-13.51527548601429,10.982835167333088
field_NN,9,137739,"['field_NN', 'field_NNS']",-13.90165258105324,10.982835167333088
highly_RB,12,43927,['highly_RB'],-11.837857852583737,10.567797668054244
already_RB,11,94039,['already_RB'],-13.061539958530144,10.693328550138101
increase_VB,9,69696,"['increase_VBN', 'increase_VBZ', 'increase_VBD']",-12.918863237274595,10.982835167333088
down_RB,12,44260,['down_RB'],-11.848753329967218,10.567797668054244
