,OlfN,TotalN,Tokens,OAI,OSI
animal_NN,43,62407,"['animal_NNS', 'animal_NN', 'animal_NNP']",-10.503155485647788,13.004824715980504
drive_VB,45,56626,"['drive_VB', 'drive_VBG', 'drive_VBP', 'drive_VBN', 'drive_VBD', 'drive_VBZ']",-10.297323906211796,12.939236374352927
ms._NN,122,20025,['ms._NNP'],-7.358777284620548,11.500352133119716
mr_NN,58,14690,['mr_NNP'],-7.98456578031607,12.57310847555503
notice_VB,47,20384,"['notice_VB', 'notice_VBD', 'notice_VBP', 'notice_VBN', 'notice_VBG']",-8.760560710578662,12.876500619004965
master_NN,89,39621,"['master_NNP', 'master_NN', 'master_NNS']",-8.798244241653322,11.955356039716204
head_NN,153,71003,"['head_NN', 'head_NNS', 'head_NNP']",-8.858204519131679,11.173701627989951
bell_NN,122,10590,"['bell_NNP', 'bell_NNS', 'bell_NN', 'bell_NNPS']",-6.439677631316813,11.500352133119716
serious_JJ,52,44758,['serious_JJ'],-9.749418232697032,12.73064975254151
statistic_NN,41,22219,"['statistic_NNS', 'statistic_NN']",-9.08195426242769,13.073537466064518
compensation_NN,70,21607,"['compensation_NN', 'compensation_NNP']",-8.269928139310332,12.301806453737635
conservation_NN,62,23415,"['conservation_NN', 'conservation_NNP']",-8.560949107199551,12.476893160295727
buy_VB,38,51285,"['buy_VBN', 'buy_VBG', 'buy_VBP', 'buy_VBD', 'buy_VB']",-10.398321789598327,13.183161957239017
establish_VB,155,118459,"['establish_VBN', 'establish_VB', 'establish_VBZ', 'establish_VBG', 'establish_VBD', 'establish_VBP']",-9.577903881604051,11.154965065408364
generally_RB,68,56288,['generally_RB'],-9.693076926221622,12.343626629432263
john_NN,161,48494,['john_NNP'],-8.23460175995681,11.100172592567985
dr._NN,150,64844,['dr._NNP'],-8.755866777474882,11.202270780186721
soft_JJ,63,13854,"['soft_JJ', 'soft_JJR', 'soft_JJS']",-7.780735034995355,12.453809547182686
management_NN,80,163898,"['management_NN', 'management_NNP']",-11.00051062930295,12.10916137579524
footstep_NN,111,1329,"['footstep_NNS', 'footstep_NN']",-3.5817095229260683,11.636673604332497
resource_NN,54,156491,"['resource_NN', 'resource_NNP', 'resource_NNS', 'resource_NNPS']",-11.500832660557553,12.676201968519134
discourse_NN,58,7488,"['discourse_NN', 'discourse_NNS']",-7.012383724455832,12.57310847555503
general_JJ,80,106538,['general_JJ'],-10.37908048261423,12.10916137579524
window_NN,56,60040,"['window_NN', 'window_NNS', 'window_NNP']",-10.066281434450447,12.623734548624999
lecture_NN,52,11321,"['lecture_NN', 'lecture_NNP']",-7.766274060507602,12.73064975254151
%_NN,53,121242,['%_NN'],-11.159609575906604,12.703169016119404
representation_NN,42,22452,"['representation_NNS', 'representation_NN']",-9.06223892118318,13.038772047903842
mind_NN,112,68054,"['mind_NNS', 'mind_NN', 'mind_NNP', 'mind_NNPS']",-9.247037418788581,11.623734548624999
motion_NN,814,37944,"['motion_NN', 'motion_NNP', 'motion_NNS']",-5.54269916881328,8.762204486416355
speaking_NN,71,6835,['speaking_NN'],-6.58897850298874,12.281342351177921
earlier_RB,82,19197,"['earlier_RBR', 'earlier_RB']",-7.871041247164801,12.073537466064518
tuesday_NN,79,10029,"['tuesday_NNP', 'tuesday_NNPS']",-6.988109392161457,12.1273087225055
agency_NN,169,115814,"['agency_NN', 'agency_NNS', 'agency_NNP', 'agency_NNPS']",-9.42057070002873,11.030210034400417
youth_NN,62,37629,"['youth_NN', 'youth_NNP', 'youth_NNS']",-9.245361019099574,12.476893160295727
publication_NN,41,41880,"['publication_NNS', 'publication_NN', 'publication_NNP']",-9.996421817200087,13.073537466064518
examine_VB,78,58238,"['examine_VBP', 'examine_VB', 'examine_VBD', 'examine_VBG', 'examine_VBN', 'examine_VBZ']",-9.544270972274187,12.145687251820354
