,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
43,brew_NN,13,648,"['brew_NN', 'brew_NNP']",-5.639410285,11.82987517
45,mango_NN,16,820,"['mango_NNS', 'mango_NN', 'mango_NNP']",-5.6794801,11.53031489
47,salsa_NN,13,693,"['salsa_NN', 'salsa_NNS']",-5.736271824,11.82987517
48,winery_NN,22,1173,"['winery_NN', 'winery_NNP', 'winery_NNS']",-5.736555678999999,11.07088327
50,cuisine_NN,46,2558,"['cuisine_NN', 'cuisine_NNP', 'cuisine_NNS']",-5.797238592999999,10.00675293
51,discriminate_VB,17,1008,['discriminate_VBG'],-5.889817082,11.44285204
54,homemade_NN,17,1086,"['homemade_NN', 'homemade_NNP']",-5.997345547,11.44285204
55,sauce_NN,52,3326,"['sauce_NN', 'sauce_NNS']",-5.999132735,9.829875167
57,freshness_NN,9,591,['freshness_NN'],-6.037089319,12.36038988
58,delicacy_NN,12,790,"['delicacy_NN', 'delicacy_NNS']",-6.040746342,11.94535238
59,decency_NN,13,861,['decency_NN'],-6.049429709,11.82987517
60,discerning_JJ,11,731,['discerning_JJ'],-6.054295977000001,12.07088327
61,exquisite_JJ,23,1534,['exquisite_JJ'],-6.0595208110000005,11.00675293
63,creamy_JJ,11,746,['creamy_JJ'],-6.083600202,12.07088327
64,cater_VB,46,3121,"['cater_VBP', 'cater_VB', 'cater_VBG', 'cater_VBN', 'cater_VBZ', 'cater_VBD']",-6.084230686000001,10.00675293
65,gourmet_NN,14,957,"['gourmet_NN', 'gourmet_NNS']",-6.095020192000001,11.72295996
66,nutritious_JJ,17,1166,['nutritious_JJ'],-6.099889232000001,11.44285204
67,suit_VB,124,8638,"['suit_VB', 'suit_VBN', 'suit_VBP', 'suit_VBD', 'suit_VBG', 'suit_VBZ']",-6.122285291,8.576118575
68,burger_NN,16,1123,"['burger_NN', 'burger_NNS']",-6.133142212,11.53031489
70,broth_NN,8,575,['broth_NN'],-6.167418146,12.53031489
71,culinary_JJ,12,882,['culinary_JJ'],-6.199672345,11.94535238
72,edible_JJ,12,899,['edible_JJ'],-6.227214805,11.94535238
73,lemon_NN,15,1128,"['lemon_NN', 'lemon_NNP', 'lemon_NNS']",-6.2326607570000006,11.62342429
74,dish_NN,94,7204,"['dish_NNS', 'dish_NN']",-6.259993614,8.975726034
75,gratification_NN,12,924,"['gratification_NN', 'gratification_NNS']",-6.266786541,11.94535238
77,honey_NN,30,2376,"['honey_NN', 'honey_NNS', 'honey_NNP']",-6.307428525,10.62342429
78,objectionable_JJ,12,952,['objectionable_JJ'],-6.309855262999999,11.94535238
80,steak_NN,18,1430,"['steak_NN', 'steak_NNS']",-6.31187443,11.36038988
81,disgusting_JJ,9,716,['disgusting_JJ'],-6.313890776,12.36038988
83,lobster_NN,8,672,['lobster_NN'],-6.392317423,12.53031489
84,impart_VB,21,1812,"['impart_VBZ', 'impart_VB', 'impart_VBD', 'impart_VBG', 'impart_VBP']",-6.431049817000001,11.13799746
86,champagne_NN,12,1042,"['champagne_NN', 'champagne_NNP', 'champagne_NNS']",-6.440177062,11.94535238
