,OlfN,TotalN,Tokens,OAI,OSI
rise_NN,352,16158,"['rise_NN', 'rise_NNS']",-5.520529397,11.52459041
decline_NN,317,14558,"['decline_NN', 'decline_NNS', 'decline_NNP']",-5.521185519,11.675683
tremendous_JJ,213,9919,['tremendous_JJ'],-5.541269345,12.24931241
actually_RB,1423,66434,['actually_RB'],-5.544914215,9.509302079
strange_JJ,231,10821,"['strange_JJ', 'strange_JJS']",-5.549797167,12.13227298
beautiful_JJ,465,21883,['beautiful_JJ'],-5.556436008,11.12293512
graph_NN,204,9656,"['graph_NNS', 'graph_NN', 'graph_NNP']",-5.564784619,12.31159668
creature_NN,162,7728,"['creature_NN', 'creature_NNS']",-5.576029376,12.64417202
someone_NN,1105,53009,"['someone_NN', 'someone_NNS']",-5.58411905,9.874191372
increase_NN,1247,59958,"['increase_NN', 'increase_NNS', 'increase_NNPS']",-5.58741889,9.699776276
let_VB,1792,86195,"['let_VB', 'let_VBG', 'let_VBD', 'let_VBZ', 'let_VBN', 'let_VBP']",-5.587961641,9.176667104
something_NN,2120,102998,['something_NN'],-5.602408249,8.934173476
're_VB,2606,127149,"[""'re_VBP""]",-5.608539221,8.636400657
touch_VB,262,12909,"['touch_VBD', 'touch_VBN', 'touch_VB', 'touch_VBP', 'touch_VBG']",-5.622666624,11.95059902
alive_JJ,205,10102,['alive_JJ'],-5.622873227,12.30454193
here_RB,3276,161482,['here_RB'],-5.623294193,8.306302384
click_VB,645,31825,"['click_VBN', 'click_VB', 'click_VBP', 'click_VBZ', 'click_VBG', 'click_VBD']",-5.624717543,10.65086668
beauty_NN,256,12640,"['beauty_NN', 'beauty_NNS']",-5.625708843,11.98402203
suddenly_RB,259,13000,['suddenly_RB'],-5.649415715,11.96721374
nothing_NN,1164,58750,"['nothing_NN', 'nothing_NNP']",-5.657425888,9.799146683
commonly_RB,311,15748,['commonly_RB'],-5.662110227,11.70325126
drop_NN,203,10326,"['drop_NN', 'drop_NNP', 'drop_NNS']",-5.668657966,12.31868611
wonderful_JJ,344,17574,['wonderful_JJ'],-5.674890224,11.55775727
hardly_RB,195,10051,['hardly_RB'],-5.687721112,12.37669171
everything_NN,913,47253,"['everything_NN', 'everything_NNP']",-5.693647256,10.14955098
joy_NN,175,9132,"['joy_NN', 'joy_NNP', 'joy_NNS']",-5.705504032,12.53281091
television_NN,558,29202,"['television_NN', 'television_NNS', 'television_NNP']",-5.709658248,10.85990071
really_RB,2012,105443,['really_RB'],-5.711689207,9.009607436
flash_NN,206,10800,"['flash_NNP', 'flash_NN', 'flash_NNS']",-5.712243165,12.2975215
visitor_NN,483,25338,"['visitor_NNP', 'visitor_NNS', 'visitor_NN', 'visitor_NNPS']",-5.713135654,11.06814265
photograph_NN,415,21782,"['photograph_NNS', 'photograph_NN', 'photograph_NNP']",-5.71388128,11.2870545
bright_JJ,273,14400,"['bright_JJ', 'bright_JJR', 'bright_JJS']",-5.72102405,11.89126489
else_RB,708,37607,['else_RB'],-5.731108053,10.51641648
listing_NN,240,12821,"['listing_NN', 'listing_NNPS', 'listing_NNS', 'listing_NNP']",-5.739330576,12.07713143
hope_VB,561,30030,"['hope_VBP', 'hope_VB']",-5.742259894,10.85216507
suffering_NN,160,8565,"['suffering_NN', 'suffering_NNS']",-5.742309436,12.66209393
personally_RB,245,13182,['personally_RB'],-5.749643716,12.04738409
man_NN,1725,93517,"['man_NN', 'man_NNP']",-5.760560382,9.231641379
star_NN,611,33220,"['star_NNP', 'star_NN', 'star_NNS']",-5.764735883,10.72899346
