,OlfN,TotalN,Tokens,OAI,OSI
telescope_NN,78,7004,"['telescope_NN', 'telescope_NNP', 'telescope_NNS']",-6.48856115,12.90287753
straight_JJ,87,7870,['straight_JJ'],-6.499204425,12.74533626
yellow_JJ,110,9982,"['yellow_JJ', 'yellow_JJR']",-6.503753475,12.40692004
while_NN,127,11563,['while_NN'],-6.508543444,12.19959507
past_NN,309,28259,"['past_NN', 'past_NNP', 'past_NNS']",-6.514959766,10.91681672
alternative_JJ,206,18925,['alternative_JJ'],-6.521505153,11.50177922
heaven_NN,76,6997,"['heaven_NNS', 'heaven_NNP', 'heaven_NN', 'heaven_NNPS']",-6.524593263,12.94035224
bit_NN,513,47515,"['bit_NN', 'bit_NNS']",-6.533280393,10.18546474
screen_NN,345,32072,"['screen_NN', 'screen_NNS', 'screen_NNP']",-6.53857415,10.7578272
up_RB,670,62550,['up_RB'],-6.544704979,9.800262467
again_RB,1051,98799,['again_RB'],-6.554661865,9.150732798
might_MD,1583,148989,['might_MD'],-6.556400753,8.559834212
cheap_JJ,173,16307,"['cheap_JJ', 'cheap_JJS', 'cheap_JJR']",-6.558575546,11.75365152
somewhat_RB,201,19038,['somewhat_RB'],-6.565542615,11.53722806
flat_JJ,127,12036,"['flat_JJ', 'flat_JJR', 'flat_JJS']",-6.566383705,12.19959507
notice_VB,215,20384,"['notice_VBD', 'notice_VBN', 'notice_VB', 'notice_VBG', 'notice_VBP']",-6.566956713,11.4400869
icon_NN,79,7500,"['icon_NNS', 'icon_NN']",-6.568894132,12.884499
prospect_NN,123,11716,"['prospect_NNS', 'prospect_NN', 'prospect_NNP']",-6.573677973,12.24576525
first_RB,738,70698,['first_RB'],-6.581904776,9.660802746
resume_VB,110,10540,"['resume_VB', 'resume_VBP', 'resume_VBG', 'resume_VBZ', 'resume_VBN']",-6.582227533,12.40692004
suddenly_RB,135,13000,['suddenly_RB'],-6.589408406,12.11146415
sound_VB,199,19203,"['sound_VBP', 'sound_VBD', 'sound_VBG', 'sound_VBZ', 'sound_VB']",-6.592419473,11.55165513
brown_JJ,92,8883,['brown_JJ'],-6.59326932,12.6647178
painting_NN,197,19059,"['painting_NN', 'painting_NNS', 'painting_NNP']",-6.596132985,11.56622793
investor_NN,156,15159,"['investor_NNS', 'investor_NN', 'investor_NNP']",-6.602484746,11.90287753
green_JJ,210,20516,"['green_JJ', 'green_JJR', 'green_JJS']",-6.610216338,11.47403423
shot_NN,166,16233,"['shot_NN', 'shot_NNS']",-6.611602595,11.81324032
hard_JJ,670,65546,"['hard_JJ', 'hard_JJR', 'hard_JJS']",-6.612202836,9.800262467
camera_NN,354,34658,"['camera_NN', 'camera_NNS', 'camera_NNP']",-6.613295233,10.7206742
bad_JJ,658,64529,"['bad_JJ', 'bad_JJR', 'bad_JJS']",-6.615716274,9.826335978
out_RB,150,14738,['out_RB'],-6.618434448,11.95946106
everyone_NN,463,45610,['everyone_NN'],-6.622194166,10.33341137
sign_NN,349,34382,"['sign_NNS', 'sign_NN', 'sign_NNP']",-6.622282622,10.74119653
though_RB,129,12745,['though_RB'],-6.626416497,12.1770525
smart_JJ,85,8441,"['smart_JJ', 'smart_JJS']",-6.633807273,12.77888882
brief_JJ,156,15538,"['brief_JJ', 'brief_JJR', 'brief_JJS']",-6.638110977,11.90287753
increasingly_RB,252,25199,['increasingly_RB'],-6.643798939,11.21099983
slide_NN,98,9877,"['slide_NNS', 'slide_NN', 'slide_NNP']",-6.655147351,12.57356991
see_VB,3300,333287,"['see_VB', 'see_VBG', 'see_VBP', 'see_VBN', 'see_VBZ']",-6.658155211,7.500029443
tiny_JJ,110,11293,"['tiny_JJ', 'tiny_JJS']",-6.681781457,12.40692004
folk_NN,153,15799,"['folk_NNS', 'folk_NN']",-6.690157783,11.93089191
now_RB,2664,275604,['now_RB'],-6.692858934,7.808901385
girl_NN,396,41043,"['girl_NNS', 'girl_NN', 'girl_NNPS', 'girl_NNP']",-6.695491947,10.55892313
different_JJ,1899,197565,['different_JJ'],-6.70094367,8.297255562
scene_NN,262,27398,"['scene_NN', 'scene_NNS', 'scene_NNP']",-6.708359961,11.15485675
fun_NN,202,21198,"['fun_NNP', 'fun_NN']",-6.713429052,11.53006827
've_VB,1011,106163,"[""'ve_VBP"", ""'ve_VB""]",-6.714354237,9.20671247
possibility_NN,312,33042,"['possibility_NNS', 'possibility_NN', 'possibility_NNPS']",-6.726611175,10.90287753
accommodation_NN,124,13166,"['accommodation_NNP', 'accommodation_NN', 'accommodation_NNS']",-6.730333172,12.23408344
crew_NN,167,17772,"['crew_NN', 'crew_NNS', 'crew_NNP']",-6.733614134,11.80457546
map_NN,331,35398,"['map_NN', 'map_NNS', 'map_NNP']",-6.740692823,10.81759235
man_NN,866,93517,"['man_NN', 'man_NNP']",-6.754717814,9.430056537
job_NN,1196,129194,"['job_NN', 'job_NNS', 'job_NNP']",-6.75517787,8.964278078
currently_RB,615,66564,['currently_RB'],-6.758011911,9.923837152
google_NN,86,9316,"['google_NNP', 'google_NN']",-6.75923017,12.762015
basically_RB,103,11187,['basically_RB'],-6.763035055,12.50177922
actually_RB,611,66434,['actually_RB'],-6.764605592,9.933251182
anyway_RB,97,10589,['anyway_RB'],-6.770365888,12.58836691
researcher_NN,497,54385,"['researcher_NNS', 'researcher_NN', 'researcher_NNP']",-6.773819133,10.23117771
quite_RB,518,56993,['quite_RB'],-6.781688827,10.17147146
little_JJ,1023,112844,['little_JJ'],-6.785379756,9.189689322
sit_VB,404,44873,"['sit_VBG', 'sit_VB', 'sit_VBZ', 'sit_VBD', 'sit_VBP', 'sit_VBN']",-6.795348536,10.53006827
thin_JJ,100,11145,"['thin_JJ', 'thin_JJR', 'thin_JJS']",-6.800252806,12.54442356
slightly_RB,163,18185,['slightly_RB'],-6.801733151,11.8395516
pattern_NN,430,48069,"['pattern_NNS', 'pattern_NN', 'pattern_NNPS', 'pattern_NNP']",-6.804626321,10.4400869
busy_JJ,113,12636,"['busy_JJ', 'busy_JJS']",-6.805073259,12.36810079
answer_NN,438,49178,"['answer_NNS', 'answer_NN']",-6.810938384,10.41349269
deep_JJ,304,34229,"['deep_JJR', 'deep_JJ', 'deep_JJS']",-6.815004011,10.94035224
stand_VB,488,55151,"['stand_VBD', 'stand_VB', 'stand_VBG', 'stand_VBP', 'stand_VBZ', 'stand_VBN']",-6.820362087,10.25754241
close_RB,141,15951,['close_RB'],-6.821807899,12.0487284
stop_VB,474,53627,"['stop_VBN', 'stop_VB', 'stop_VBD', 'stop_VBG', 'stop_VBP', 'stop_VBZ']",-6.821928679,10.2995365
quiet_JJ,95,10762,"['quiet_JJ', 'quiet_JJR']",-6.823802983,12.61842414
lot_NN,826,93937,"['lot_NN', 'lot_NNS', 'lot_NNP']",-6.829407928,9.498281781
star_NN,292,33232,"['star_NNS', 'star_NN', 'star_NNP']",-6.830460942,10.99845519
very_RB,2629,299778,['very_RB'],-6.833236559,7.827981325
page_NN,859,98004,"['page_NNP', 'page_NN', 'page_NNS']",-6.834038692,9.441765431
n't_RB,4249,485391,"[""n't_RB""]",-6.835880205,7.135372124
crowd_NN,107,12230,"['crowd_NN', 'crowd_NNS', 'crowd_NNP']",-6.836669797,12.44681277
white_JJ,382,43864,"['white_JJ', 'white_JJR']",-6.84332093,10.61085092
much_RB,1011,116288,['much_RB'],-6.845775422,9.20671247
similar_JJ,648,74709,['similar_JJ'],-6.849144428,9.848429749
instead_RB,528,61009,['instead_RB'],-6.852340344,10.14388563
lady_NN,111,12842,"['lady_NNP', 'lady_NN', 'lady_NNS']",-6.854166417,12.39386389
old_JJ,1036,120601,"['old_JJ', 'old_JJR', 'old_JJS']",-6.863074057,9.171471464
boy_NN,257,29978,"['boy_NNS', 'boy_NN', 'boy_NNPS', 'boy_NNP']",-6.865991967,11.1826552
else_RB,322,37607,['else_RB'],-6.867796725,10.85736287
kid_NN,318,37217,"['kid_NNS', 'kid_NN', 'kid_NNP', 'kid_NNPS']",-6.870791191,10.8753968
happy_JJ,214,25051,"['happy_JJ', 'happy_JJR', 'happy_JJS']",-6.871113588,11.44681277
big_JJ,700,81996,"['big_JJ', 'big_JJR', 'big_JJS']",-6.8720548,9.73706864
moment_NN,345,40503,"['moment_NNS', 'moment_NN']",-6.875288598,10.7578272
wonder_VB,158,18664,"['wonder_VB', 'wonder_VBG', 'wonder_VBP', 'wonder_VBD', 'wonder_VBN', 'wonder_VBZ']",-6.884189844,11.884499
want_VB,1958,231392,"['want_VB', 'want_VBG', 'want_VBP', 'want_VBD', 'want_VBZ', 'want_VBN']",-6.884814411,8.253114702
begin_VB,1379,163694,"['begin_VBD', 'begin_VBN', 'begin_VBP', 'begin_VBG', 'begin_VB', 'begin_VBZ']",-6.891235176,8.75887301
tourist_NN,84,10019,"['tourist_NN', 'tourist_NNS', 'tourist_NNP']",-6.898133477,12.79596233
flower_NN,144,17216,"['flower_NNS', 'flower_NN', 'flower_NNP']",-6.901537361,12.01835475
graph_NN,81,9684,"['graph_NN', 'graph_NNS', 'graph_NNP']",-6.901537361,12.84842975
somewhere_RB,81,9695,['somewhere_RB'],-6.90317518,12.84842975
place_NN,1435,172348,"['place_NNS', 'place_NN', 'place_NNP', 'place_NNPS']",-6.90813001,8.70144473
message_NN,609,73288,"['message_NN', 'message_NNP', 'message_NNS']",-6.910990956,9.937981334
young_JJ,822,99121,"['young_JJR', 'young_JJ', 'young_JJS']",-6.913908538,9.505285168
apartment_NN,90,10902,"['apartment_NNS', 'apartment_NN']",-6.920452109,12.69642666
little_RB,110,13332,['little_RB'],-6.921245889,12.40692004
front_JJ,117,14232,['front_JJ'],-6.926486076,12.31791503
dental_JJ,80,9736,['dental_JJ'],-6.927185358,12.86635166
far_RB,1032,125603,"['far_RB', 'far_RBR']",-6.927284142,9.177052497
trend_NN,253,31000,"['trend_NN', 'trend_NNS', 'trend_NNP', 'trend_NNPS']",-6.93698702,11.20528618
kitchen_NN,89,10919,"['kitchen_NN', 'kitchen_NNS']",-6.938819684,12.71254632
website_NN,342,41980,"['website_NN', 'website_NNP', 'website_NNS', 'website_NNPS']",-6.939562031,10.77042724
maybe_RB,223,27391,['maybe_RB'],-6.940514417,11.38737985
yard_NN,81,9959,"['yard_NN', 'yard_NNS', 'yard_NNP']",-6.941935168,12.84842975
skin_NN,178,21921,"['skin_NN', 'skin_NNS', 'skin_NNP']",-6.944292562,11.71254632
menu_NN,134,16550,"['menu_NN', 'menu_NNS', 'menu_NNP']",-6.948454406,12.12219056
hr_NN,77,9530,"['hr_NNP', 'hr_NN', 'hr_NNS']",-6.951473958,12.92149321
cloud_NN,94,11639,"['cloud_NNS', 'cloud_NN', 'cloud_NNP']",-6.952090638,12.6336909
whole_JJ,427,52919,['whole_JJ'],-6.953405919,10.45018749
shadow_NN,80,9971,"['shadow_NN', 'shadow_NNS', 'shadow_NNP']",-6.961594391,12.86635166
next_JJ,965,120572,['next_JJ'],-6.965150257,9.27389462
healthy_JJ,190,24039,"['healthy_JJ', 'healthy_JJS']",-6.983233654,11.61842414
anything_NN,417,52768,['anything_NN'],-6.98347211,10.48437618
detailed_JJ,206,26080,['detailed_JJ'],-6.984155722,11.50177922
exciting_JJ,108,13762,['exciting_JJ'],-6.993515026,12.43339225
drawing_NN,77,9845,"['drawing_NNS', 'drawing_NN', 'drawing_NNPS']",-6.99838895,12.92149321
car_NN,408,52270,"['car_NN', 'car_NNS', 'car_NNP']",-7.001270197,10.51585441
then_RB,2574,329810,['then_RB'],-7.001479279,7.858483414
expand_VB,359,46032,"['expand_VB', 'expand_VBG', 'expand_VBD', 'expand_VBN', 'expand_VBP', 'expand_VBZ']",-7.002509472,10.70043972
engineer_NN,197,25312,"['engineer_NN', 'engineer_NNPS', 'engineer_NNS', 'engineer_NNP']",-7.005482065,11.56622793
empty_JJ,75,9665,['empty_JJ'],-7.009735327,12.95946106
simply_RB,486,62712,['simply_RB'],-7.011641406,10.26346725
black_JJ,361,46656,['black_JJ'],-7.013919977,10.69242473
tough_JJ,88,11469,"['tough_JJ', 'tough_JJR']",-7.026020367,12.72884813
husband_NN,178,23252,"['husband_NN', 'husband_NNS']",-7.029333762,11.71254632
motivate_VB,78,10304,"['motivate_VBN', 'motivate_VBZ', 'motivate_VBG', 'motivate_VB', 'motivate_VBD']",-7.045514659,12.90287753
print_NN,177,23414,"['print_NNS', 'print_NN', 'print_NNP']",-7.047478252,11.7206742
color_NN,398,52656,"['color_NNS', 'color_NN', 'color_NNP']",-7.047685691,10.55165513
never_RB,888,117774,['never_RB'],-7.05124569,9.393863886
creative_JJ,174,23081,['creative_JJ'],-7.051474615,11.74533626
future_JJ,427,56667,['future_JJ'],-7.052128947,10.45018749
image_NN,663,88141,"['image_NN', 'image_NNS', 'image_NNP']",-7.054660584,9.815414692
people_NN,3462,461112,"['people_NNS', 'people_NNPS']",-7.057367676,7.430889743
actor_NN,100,13322,"['actor_NN', 'actor_NNS']",-7.057666877,12.54442356
landscape_NN,140,18680,"['landscape_NN', 'landscape_NNS', 'landscape_NNP']",-7.059923818,12.05899674
pair_NN,123,16415,"['pair_NN', 'pair_NNS']",-7.060212624,12.24576525
certainly_RB,251,33563,['certainly_RB'],-7.063040501,11.2167362
moon_NN,87,11655,"['moon_NN', 'moon_NNS', 'moon_NNP']",-7.065717888,12.74533626
garden_NN,171,23010,"['garden_NNP', 'garden_NNS', 'garden_NN', 'garden_NNPS']",-7.072120848,11.77042724
investigator_NN,107,14401,"['investigator_NN', 'investigator_NNS', 'investigator_NNP']",-7.072414388,12.44681277
match_NN,82,11050,"['match_NN', 'match_NNS', 'match_NNP']",-7.074206745,12.83072775
opportunity_NN,1060,142879,"['opportunity_NNP', 'opportunity_NN', 'opportunity_NNS', 'opportunity_NNPS']",-7.074585813,9.138431203
welcome_VB,119,16065,"['welcome_VBG', 'welcome_VB', 'welcome_VBP', 'welcome_VBN', 'welcome_VBZ', 'welcome_VBD']",-7.076815597,12.29346199
ordinary_JJ,109,14827,['ordinary_JJ'],-7.087754776,12.42009543
merely_RB,133,18105,['merely_RB'],-7.088818121,12.13299732
