Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
little_JJ,1196,112844,['little_JJ'],-6.559968512,8.528248288,1450,112844,['little_JJ'],-6.282133001,9.482184841
amazing_JJ,99,9595,['amazing_JJ'],-6.598710471,12.12289334,293,9595,['amazing_JJ'],-5.033310237,11.78926517
everybody_NN,102,9945,['everybody_NN'],-6.6073303139999995,12.07982462,163,9945,['everybody_NN'],-5.931027501,12.63529387
quite_RB,579,56993,['quite_RB'],-6.621077577,9.574830424,695,56993,['quite_RB'],-6.357627947,10.54315286
enough_JJ,321,32278,['enough_JJ'],-6.651834082000001,10.42582047,394,32278,['enough_JJ'],-6.35621175,11.36197021
someone_NN,517,53009,"['someone_NN', 'someone_NNS']",-6.679929233999999,9.738229491,1105,53009,"['someone_NN', 'someone_NNS']",-5.58411905,9.874191372
nice_JJ,201,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-6.692272845,11.10119827,491,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-5.403745322000001,11.04444281
soul_NN,146,15153,"['soul_NNS', 'soul_NN', 'soul_NNP']",-6.697491267999999,11.5624254,183,15153,"['soul_NNS', 'soul_NN', 'soul_NNP']",-6.3716159889999995,12.46832219
anything_NN,506,52768,['anything_NN'],-6.704382109,9.769256387,1621,52802,"['anything_NN', 'anything_NNP']",-5.02563658,9.32135365
love_VB,350,36695,"['love_VBN', 'love_VBP', 'love_VBD', 'love_VBZ', 'love_VB', 'love_VBG']",-6.712084765,10.30103885,667,36686,"['love_VBN', 'love_VB', 'love_VBP', 'love_VBD', 'love_VBZ', 'love_VBG']",-5.78139904,10.60247907
've_VB,993,106163,"[""'ve_VBP"", ""'ve_VB""]",-6.740271612000001,8.796600053999999,7449,106163,"[""'ve_VBP"", ""'ve_VB""]",-3.833090472,7.121190979
'd_MD,483,51923,"[""'d_MD""]",-6.748206742000001,9.836370582999999,2505,51923,"[""'d_MD""]",-4.373491233,8.693427137999999
're_VB,1178,127149,"[""'re_VBP""]",-6.7540367660000005,8.550126138,2606,127149,"[""'re_VBP""]",-5.608539221,8.636400657000001
ca_MD,442,49576,['ca_MD'],-6.809451694,9.964347402000001,1736,49576,['ca_MD'],-4.835803021,9.222470793
could_MD,3137,353052,['could_MD'],-6.81435135,7.137080148,10404,353052,['could_MD'],-5.08467048,6.639171342000001
while_NN,100,11563,['while_NN'],-6.853371941,12.10839377,156,11563,['while_NN'],-6.211825912,12.69861981
others_NN,991,118588,['others_NNS'],-6.902857257000001,8.799508715,1461,118588,['others_NNS'],-6.3428580420000005,9.471281563
do_VB,10514,1263734,"['do_VBP', 'do_VBD', 'do_VBZ', 'do_VBG', 'do_VB', 'do_VBN']",-6.909237376,5.3922259420000005,16379,1263400,"['do_VBD', 'do_VB', 'do_VBN', 'do_VBP', 'do_VBZ', 'do_VBG']",-6.269320389,5.984462369
ever_RB,534,67276,['ever_RB'],-6.977108378,9.69155403,3375,67276,['ever_RB'],-4.317132523,8.263350239
people_NN,3646,461112,"['people_NNS', 'people_NNPS']",-6.982658839,6.920151116,6712,461707,"['people_NNS', 'people_NNPS', 'people_NNP']",-6.104091079,7.271495025
around_RB,99,12700,['around_RB'],-7.003184256,12.12289334,340,12700,['around_RB'],-5.22314994,11.57463109
might_MD,1160,148989,['might_MD'],-7.004937203,8.572340872,2128,148989,['might_MD'],-6.129563857999999,8.92873959
often_RB,1097,142647,['often_RB'],-7.02274207,8.652902151000001,2126,142647,['often_RB'],-6.068163998999999,8.930096144
just_RB,2225,295583,['just_RB'],-7.0536141510000006,7.632660341,3698,295583,['just_RB'],-6.320674263,8.131492517
being_NN,109,14488,"['being_NNS', 'being_NN']",-7.054386506,11.98406564,205,14513,"['being_NN', 'being_NNS', 'being_NNPS']",-6.145578052,12.30454193
kid_NN,276,36777,"['kid_NNS', 'kid_NN', 'kid_NNP']",-7.057991723,10.6437255,617,37217,"['kid_NNS', 'kid_NN', 'kid_NNPS', 'kid_NNP']",-5.914547467,10.71489535
