,Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
51,everything_NN,534,47253,"['everything_NN', 'everything_NNP']",-6.467422374,10.12758382,913,47253,"['everything_NN', 'everything_NNP']",-5.693647256,10.14955098
52,amazing_JJ,108,9595,['amazing_JJ'],-6.473179589,12.43339225,293,9595,['amazing_JJ'],-5.033310237,11.78926517
53,while_NN,127,11563,['while_NN'],-6.508543444,12.19959507,156,11563,['while_NN'],-6.211825912,12.69861981
54,screen_NN,345,32072,"['screen_NN', 'screen_NNS', 'screen_NNP']",-6.53857415,10.7578272,703,32072,"['screen_NN', 'screen_NNS', 'screen_NNP']",-5.511645822999999,10.52664115
55,again_RB,1051,98799,['again_RB'],-6.554661865,9.150732798,2475,98799,['again_RB'],-5.318996009,8.710809216
56,might_MD,1583,148989,['might_MD'],-6.556400752999999,8.559834212,2128,148989,['might_MD'],-6.129563857999999,8.92873959
57,icon_NN,79,7500,"['icon_NNS', 'icon_NN']",-6.5688941320000005,12.884499,287,7521,"['icon_NN', 'icon_NNS']",-4.711801855,11.8191151
58,first_RB,738,70698,['first_RB'],-6.581904776,9.660802746,1196,70698,['first_RB'],-5.885380108,9.760020352
59,suddenly_RB,135,13000,['suddenly_RB'],-6.589408406,12.11146415,259,13000,['suddenly_RB'],-5.649415715,11.96721374
60,painting_NN,197,19059,"['painting_NN', 'painting_NNS', 'painting_NNP']",-6.596132985,11.56622793,263,18882,"['painting_NN', 'painting_NNS']",-6.165804975,11.94510304
61,green_JJ,210,20516,"['green_JJ', 'green_JJR', 'green_JJS']",-6.610216338,11.47403423,232,20490,"['green_JJ', 'green_JJR']",-6.464651368999999,12.12604103
62,shot_NN,166,16233,"['shot_NN', 'shot_NNS']",-6.611602595,11.81324032,242,16412,"['shot_NNS', 'shot_NN', 'shot_NNP']",-6.083600202,12.06515879
63,hard_JJ,670,65546,"['hard_JJ', 'hard_JJR', 'hard_JJS']",-6.612202836,9.800262467,1045,65546,"['hard_JJ', 'hard_JJR', 'hard_JJS']",-5.970932894,9.954734799
64,everyone_NN,463,45610,['everyone_NN'],-6.622194166,10.33341137,740,45610,['everyone_NN'],-5.945681089,10.45264057
65,sign_NN,349,34382,"['sign_NNS', 'sign_NN', 'sign_NNP']",-6.622282622,10.74119653,943,34382,"['sign_NNS', 'sign_NN', 'sign_NNP']",-5.188251888,10.10290807
66,slide_NN,98,9877,"['slide_NNS', 'slide_NN', 'slide_NNP']",-6.655147351,12.57356991,155,9877,"['slide_NN', 'slide_NNS', 'slide_NNP']",-5.993732789,12.70789762
67,tiny_JJ,110,11293,"['tiny_JJ', 'tiny_JJS']",-6.6817814570000005,12.40692004,155,11293,"['tiny_JJ', 'tiny_JJS']",-6.187016765,12.70789762
68,folk_NN,153,15799,"['folk_NNS', 'folk_NN']",-6.690157782999999,11.93089191,246,15799,"['folk_NNS', 'folk_NN']",-6.00503112,12.04150752
69,now_RB,2664,275604,['now_RB'],-6.692858934,7.808901385,3526,275604,['now_RB'],-6.288420542000001,8.200205267000001
70,girl_NN,396,41043,"['girl_NNS', 'girl_NN', 'girl_NNPS', 'girl_NNP']",-6.695491947000001,10.55892313,580,41046,"['girl_NN', 'girl_NNS', 'girl_NNP', 'girl_NNPS']",-6.145044925,10.80411294
71,scene_NN,262,27398,"['scene_NN', 'scene_NNS', 'scene_NNP']",-6.708359961,11.15485675,317,27398,"['scene_NN', 'scene_NNS', 'scene_NNP']",-6.4334439329999995,11.675683
72,'ve_VB,1011,106163,"[""'ve_VBP"", ""'ve_VB""]",-6.714354237,9.20671247,7449,106163,"[""'ve_VBP"", ""'ve_VB""]",-3.833090472,7.121190979
73,map_NN,331,35398,"['map_NN', 'map_NNS', 'map_NNP']",-6.740692823,10.81759235,640,35398,"['map_NN', 'map_NNS', 'map_NNP']",-5.789452133999999,10.66209393
74,man_NN,866,93517,"['man_NN', 'man_NNP']",-6.754717814,9.430056537,1725,93517,"['man_NN', 'man_NNP']",-5.760560382,9.231641379
75,actually_RB,611,66434,['actually_RB'],-6.7646055920000006,9.933251182000001,1423,66434,['actually_RB'],-5.544914215,9.509302079
76,quite_RB,518,56993,['quite_RB'],-6.781688827000001,10.17147146,695,56993,['quite_RB'],-6.357627947,10.54315286
77,little_JJ,1023,112844,['little_JJ'],-6.785379756,9.189689322000001,1450,112844,['little_JJ'],-6.282133001,9.482184841
78,pattern_NN,430,48069,"['pattern_NNS', 'pattern_NN', 'pattern_NNPS', 'pattern_NNP']",-6.804626321000001,10.4400869,775,48069,"['pattern_NNS', 'pattern_NN', 'pattern_NNPS', 'pattern_NNP']",-5.95476667,10.38596953
79,close_RB,141,15951,['close_RB'],-6.8218078989999995,12.0487284,286,15951,['close_RB'],-5.801487915,11.82415069
80,lot_NN,826,93937,"['lot_NN', 'lot_NNS', 'lot_NNP']",-6.829407927999999,9.498281781000001,1500,93937,"['lot_NN', 'lot_NNS', 'lot_NNP']",-5.968659113999999,9.433275241
81,star_NN,292,33232,"['star_NNS', 'star_NN', 'star_NNP']",-6.830460942,10.99845519,611,33220,"['star_NNP', 'star_NN', 'star_NNS']",-5.764735882999999,10.72899346
82,page_NN,859,98004,"['page_NNP', 'page_NN', 'page_NNS']",-6.834038692000001,9.441765431,2513,97949,"['page_NNS', 'page_NN', 'page_NNP']",-5.2845481869999995,8.68882707
83,n't_RB,4249,485391,"[""n't_RB""]",-6.835880205,7.135372124,11897,485391,"[""n't_RB""]",-5.35047763,6.445711823
84,crowd_NN,107,12230,"['crowd_NN', 'crowd_NNS', 'crowd_NNP']",-6.836669797000001,12.44681277,196,12230,"['crowd_NN', 'crowd_NNS', 'crowd_NNP']",-5.963426939,12.36931218
85,white_JJ,382,43864,"['white_JJ', 'white_JJR']",-6.84332093,10.61085092,597,43821,"['white_JJ', 'white_JJS']",-6.197747665,10.7624349
