Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
dark_JJ,334,23335,"['dark_JJ', 'dark_JJR', 'dark_JJS']",-6.126503554,10.80457546,20,20886,['dark_JJ'],-10.0283205,9.830832074
definitely_RB,149,10982,['definitely_RB'],-6.203684675,11.96911123,9,10982,['definitely_RB'],-10.25292819,10.98283517
hair_NN,221,17399,"['hair_NN', 'hair_NNS', 'hair_NNP']",-6.29881421,11.40037719,40,15892,['hair_NN'],-8.634084983,8.830832074
clothes_NN,115,9081,"['clothes_NNS', 'clothes_NNPS']",-6.30314541,12.342789699999999,41,9081,"['clothes_NNS', 'clothes_NNPS']",-7.791083456,8.795208164
terrible_JJ,90,7271,['terrible_JJ'],-6.336084984,12.69642666,14,7271,['terrible_JJ'],-9.020583157999999,10.34540525
clean_JJ,228,19341,"['clean_JJ', 'clean_JJR', 'clean_JJS']",-6.406484755,11.35538974,41,19114,"['clean_JJ', 'clean_JJR']",-8.864790099,8.795208164
dress_VB,94,8219,"['dress_VBN', 'dress_VBG', 'dress_VBP', 'dress_VBD', 'dress_VB']",-6.4501583060000005,12.6336909,9,7898,"['dress_VBG', 'dress_VBN', 'dress_VB', 'dress_VBP']",-9.777346651,10.98283517
familiar_JJ,223,19577,['familiar_JJ'],-6.455972181,11.38737985,14,19577,['familiar_JJ'],-10.44951716,10.34540525
stuff_NN,190,16792,"['stuff_NN', 'stuff_NNP']",-6.465630843,11.61842414,15,16556,['stuff_NN'],-10.10817594,10.24586957
everything_NN,534,47253,"['everything_NN', 'everything_NNP']",-6.467422374,10.12758382,28,47253,"['everything_NN', 'everything_NNP']",-10.72076338,9.345405247
shoe_NN,104,9258,"['shoe_NN', 'shoe_NNS']",-6.476045129,12.48784003,9,9270,"['shoe_NNS', 'shoe_NN']",-10.00842862,10.98283517
nose_NN,81,7260,"['nose_NN', 'nose_NNS']",-6.48590383,12.84842975,68,7260,"['nose_NN', 'nose_NNS']",-6.7382909920000005,8.065297328
yellow_JJ,110,9982,"['yellow_JJ', 'yellow_JJR']",-6.503753475,12.40692004,15,9974,['yellow_JJ'],-9.377065892000001,10.24586957
cheap_JJ,173,16307,"['cheap_JJ', 'cheap_JJS', 'cheap_JJR']",-6.558575546,11.75365152,9,11362,"['cheap_JJ', 'cheap_JJS']",-10.30200419,10.98283517
somewhat_RB,201,19038,['somewhat_RB'],-6.565542615,11.53722806,11,19038,['somewhat_RB'],-10.75716269,10.69332855
notice_VB,215,20384,"['notice_VBD', 'notice_VBN', 'notice_VB', 'notice_VBG', 'notice_VBP']",-6.566956713,11.4400869,40,20384,"['notice_VB', 'notice_VBD', 'notice_VBP', 'notice_VBN', 'notice_VBG']",-8.993221467,8.830832074
sound_VB,199,19203,"['sound_VBP', 'sound_VBD', 'sound_VBG', 'sound_VBZ', 'sound_VB']",-6.592419473,11.55165513,122,16462,"['sound_VBZ', 'sound_VB', 'sound_VBD']",-7.076114663999999,7.222022831
brown_JJ,92,8883,['brown_JJ'],-6.59326932,12.664717800000002,13,8883,['brown_JJ'],-9.416391557999999,10.45232045
green_JJ,210,20516,"['green_JJ', 'green_JJR', 'green_JJS']",-6.610216338,11.47403423,14,20170,['green_JJ'],-10.49256854,10.34540525
bad_JJ,658,64529,"['bad_JJ', 'bad_JJR', 'bad_JJS']",-6.6157162739999995,9.826335978,162,64529,"['bad_JJ', 'bad_JJR', 'bad_JJS']",-8.637810045,6.812910166
see_VB,3300,333287,"['see_VB', 'see_VBG', 'see_VBP', 'see_VBN', 'see_VBZ']",-6.658155211,7.500029443,186,333265,"['see_VBN', 'see_VBG', 'see_VB', 'see_VBP', 'see_VBZ']",-10.80715147,6.6136013579999995
slightly_RB,163,18185,['slightly_RB'],-6.8017331510000005,11.8395516,17,18185,['slightly_RB'],-10.06299846,10.06529733
close_RB,141,15951,['close_RB'],-6.8218078989999995,12.0487284,14,15951,['close_RB'],-10.15400433,10.34540525
stop_VB,474,53627,"['stop_VBN', 'stop_VB', 'stop_VBD', 'stop_VBG', 'stop_VBP', 'stop_VBZ']",-6.821928679,10.2995365,29,48442,"['stop_VBG', 'stop_VBZ', 'stop_VB', 'stop_VBD', 'stop_VBP']",-10.70598981,9.294779174
flower_NN,144,17216,"['flower_NNS', 'flower_NN', 'flower_NNP']",-6.901537361,12.01835475,75,16372,"['flower_NNS', 'flower_NN']",-7.770124261,7.923941478
apartment_NN,90,10902,"['apartment_NNS', 'apartment_NN']",-6.920452109,12.69642666,10,8174,['apartment_NN'],-9.674898433,10.83083207
kitchen_NN,89,10919,"['kitchen_NN', 'kitchen_NNS']",-6.938819683999999,12.71254632,17,9672,['kitchen_NN'],-9.152135688,10.06529733
skin_NN,178,21921,"['skin_NN', 'skin_NNS', 'skin_NNP']",-6.944292562,11.71254632,26,20393,['skin_NN'],-9.615346686,9.452320451
anything_NN,417,52768,['anything_NN'],-6.98347211,10.48437618,41,52768,['anything_NN'],-10.32982368,8.795208164
color_NN,398,52656,"['color_NNS', 'color_NN', 'color_NNP']",-7.047685691,10.55165513,54,51186,"['color_NN', 'color_NNS']",-9.888574147,8.397872667
garden_NN,171,23010,"['garden_NNP', 'garden_NNS', 'garden_NN', 'garden_NNPS']",-7.072120848,11.77042724,13,22372,"['garden_NN', 'garden_NNP', 'garden_NNS']",-10.748966900000001,10.45232045
